Variable:,tas
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
2007,-4.20,1.37,1.69,-1.50,4.08,-1.30,-7.87,5.82,-13.17,0.97,5.44,-2.32,0.66,-5.52
2008,-4.53,0.93,1.17,-2.48,4.60,-0.75,-8.25,6.46,-13.44,0.11,6.11,-1.95,-0.04,-6.21
2009,-4.39,0.54,1.20,-2.19,4.41,-0.82,-8.13,6.23,-12.82,0.23,5.89,-2.05,-0.23,-5.84
2010,-2.49,1.98,2.41,-0.05,6.36,1.18,-6.09,7.91,-10.70,2.30,7.67,0.10,1.37,-4.33
2011,-3.87,1.30,1.39,-0.96,5.29,-0.47,-7.50,7.04,-12.83,1.31,6.65,-1.58,0.85,-5.61
2012,-3.53,1.73,1.48,-0.39,5.98,0.30,-7.59,7.77,-12.66,2.44,7.39,-0.90,1.44,-6.71
2013,-4.38,1.34,2.19,-2.73,4.76,-0.69,-7.78,6.57,-13.55,-0.07,6.21,-2.06,-0.18,-5.40
2014,-4.43,1.06,2.05,-2.84,4.51,-1.07,-7.73,6.42,-13.30,-0.58,6.09,-2.28,-0.16,-4.65
2015,-3.92,2.57,3.08,-0.67,4.52,-2.13,-7.10,6.30,-13.88,1.15,5.86,-2.81,1.77,-4.20
2016,-3.22,2.67,3.00,-0.20,5.56,-1.27,-6.49,7.24,-12.67,1.94,6.82,-1.91,2.06,-3.36
2017,-3.80,1.71,1.85,-1.19,5.28,-0.73,-7.16,6.99,-13.15,1.21,6.62,-1.62,1.11,-4.80
2018,-4.67,0.89,1.98,-2.41,4.87,-1.51,-8.09,6.59,-14.42,0.48,6.15,-2.63,-0.22,-4.60
2019,-4.38,0.68,1.94,-2.44,4.38,-1.09,-7.50,6.18,-13.88,0.23,5.80,-2.09,-0.35,-3.57
2020,-4.27,0.92,1.77,-1.68,5.58,-0.24,-8.42,7.33,-14.04,1.59,6.90,-1.29,0.18,-5.95
2021,-3.71,1.42,1.70,-0.75,6.10,1.31,-8.24,7.79,-13.69,2.38,7.53,-0.23,0.94,-5.90
